2023-10-25 15:20:03 | INFO | GUI | __init__ | 112 | .........................Post-processing initialed.........................
2023-10-25 15:20:03 | INFO | utils | delete_old_log_files | 380 | Log files with old timestamps have been deleted.
2023-10-25 15:20:04 | INFO | GUI | save_params | 536 | Variables saved to logs\postProcessorSelection.yaml
2023-10-25 15:20:04 | INFO | GUI | process_detailed_csv | 552 | Processing and combining main module data to develop detailed data...
2023-10-25 15:20:04 | INFO | csvxmlgen | detailedcsvgen | 354 | ETL activity data from the main modules...
2023-10-25 15:20:05 | INFO | csvxmlgen | detailedcsvgen | 365 | Processed activity data.
2023-10-25 15:20:05 | INFO | csvxmlgen | detailedcsvgen | 366 | ETL emission data from the main modules...
2023-10-25 15:20:10 | ERROR | csvxmlgen | qc_areardtype | 330 | Incorrect road type and area type mapping used. Switch from TDM to HPMS or vice-versa in `self.use_tdm_area_rdtype` in `GUI.py`
2023-10-25 15:20:10 | ERROR | GUI | run_pp | 677 | Error in processing raw data: 
2023-10-25 15:20:20 | INFO | GUI | __init__ | 112 | .........................Post-processing initialed.........................
2023-10-25 15:20:20 | INFO | utils | delete_old_log_files | 380 | Log files with old timestamps have been deleted.
2023-10-25 15:20:21 | INFO | GUI | save_params | 536 | Variables saved to logs\postProcessorSelection.yaml
2023-10-25 15:20:21 | INFO | GUI | process_detailed_csv | 552 | Processing and combining main module data to develop detailed data...
2023-10-25 15:20:21 | INFO | csvxmlgen | detailedcsvgen | 354 | ETL activity data from the main modules...
2023-10-25 15:20:23 | INFO | csvxmlgen | detailedcsvgen | 365 | Processed activity data.
2023-10-25 15:20:23 | INFO | csvxmlgen | detailedcsvgen | 366 | ETL emission data from the main modules...
2023-10-25 15:20:34 | INFO | csvxmlgen | detailedcsvgen | 377 | Processed emission data.
2023-10-25 15:20:45 | INFO | GUI | process_detailed_csv | 558 | Saved detailed activity and emission data to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\activityDetailed.csv and C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\emissionDetailed.csv, respectively.
2023-10-25 15:20:45 | INFO | GUI | process_aggregate_tables | 602 | Aggregating detailed activity to develop aggregate tables table...
2023-10-25 15:20:45 | INFO | csvxmlgen | aggxlsxgen | 395 | Aggregating detailed activity and emission data...
2023-10-25 15:20:48 | INFO | csvxmlgen | aggxlsxgen | 475 | Aggregated detailed activity and emission data.
2023-10-25 15:20:56 | INFO | GUI | process_aggregate_tables | 610 | Saved aggregate tables to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\aggregateTable.xlsx.
2023-10-25 15:20:56 | INFO | GUI | process_xml_files | 629 | Processing and combining detailed activity and emission data to develop XML staging table...
2023-10-25 15:20:56 | INFO | csvxmlgen | aggsccgen | 508 | Aggregating detailed activity and emission data to NEI SCCs.
2023-10-25 15:20:59 | INFO | csvxmlgen | aggsccgen | 557 | Aggregated detailed activity and emission data to NEI SCC.
2023-10-25 15:20:59 | INFO | GUI | process_xml_files | 641 | Saved XML staging table to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\xmlSCCStagingTable.csv.
2023-10-25 15:20:59 | INFO | GUI | process_xml_files | 643 | Using Metadata and XML staging table to develop XML...
2023-10-25 15:20:59 | INFO | GUI | process_xml_files | 659 | Saved XML to C:\Users\a-bibeka\Documents\Projects_Temp\Utilities_FY24\Summary\AUS2020swkd.xml.
2023-10-25 15:20:59 | INFO | GUI | run_pp | 685 | Post-processing ended
2023-10-25 15:22:16 | INFO | GUI | __init__ | 112 | .........................Post-processing initialed.........................
2023-10-25 15:22:16 | INFO | utils | delete_old_log_files | 380 | Log files with old timestamps have been deleted.
